Entity,Code,Year,Annual CO₂ emissions
Afghanistan,AFG,2000,1047127.94
Afghanistan,AFG,2023,11020218.0
Albania,ALB,2000,3024926.0
Albania,ALB,2023,5144279.0
Algeria,DZA,2000,85398600.0
Algeria,DZA,2023,178132770.0
Andorra,AND,2000,523952.0
Andorra,AND,2023,423874.0
Angola,AGO,2000,15995108.0
Angola,AGO,2023,20780540.0
Antarctica,ATA,2000,3664.0
Antarctica,ATA,2023,0.0
Antigua and Barbuda,ATG,2000,355408.0
Antigua and Barbuda,ATG,2023,644826.0
Argentina,ARG,2000,143468700.0
Argentina,ARG,2023,195805970.0
Armenia,ARM,2000,3491407.0
Armenia,ARM,2023,7608323.0
Australia,AUS,2000,350007970.0
Australia,AUS,2023,382972000.0
Austria,AUT,2000,66177100.0
Austria,AUT,2023,58578050.0
Azerbaijan,AZE,2000,29765310.0
Azerbaijan,AZE,2023,43936972.0
Bahamas,BHS,2000,2026192.0
Bahamas,BHS,2023,2505352.0
Bahrain,BHR,2000,19199360.0
Bahrain,BHR,2023,36526764.0
Bangladesh,BGD,2000,26539266.0
Bangladesh,BGD,2023,113426860.0
Barbados,BRB,2000,1305480.0
Barbados,BRB,2023,1191738.0
Belarus,BLR,2000,54905984.0
Belarus,BLR,2023,56490772.0
Belgium,BEL,2000,126723040.0
Belgium,BEL,2023,83368480.0
Belize,BLZ,2000,395712.0
Belize,BLZ,2023,667898.0
Benin,BEN,2000,1472928.0
Benin,BEN,2023,5592317.0
Bhutan,BTN,2000,396871.0
Bhutan,BTN,2023,1713060.0
Bolivia,BOL,2000,8433878.0
Bolivia,BOL,2023,23359406.0
Bosnia and Herzegovina,BIH,2000,13702201.0
Bosnia and Herzegovina,BIH,2023,20179128.0
Botswana,BWA,2000,3777584.0
Botswana,BWA,2023,6713559.0
Brazil,BRA,2000,340183000.0
Brazil,BRA,2023,486470080.0
Brunei,BRN,2000,5328739.0
Brunei,BRN,2023,11769600.0
Bulgaria,BGR,2000,45591940.0
Bulgaria,BGR,2023,36093596.0
Burkina Faso,BFA,2000,934446.0
Burkina Faso,BFA,2023,6186583.0
Burundi,BDI,2000,271136.0
Burundi,BDI,2023,709700.0
Cambodia,KHM,2000,2000544.1
Cambodia,KHM,2023,20178442.0
Cameroon,CMR,2000,5588569.0
Cameroon,CMR,2023,9941406.0
