id,name,code
1,Afghanistan,AFG
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Angola,AGO
6,Antigua and Barbuda,ATG
7,Argentina,ARG
8,Armenia,ARM
9,Aruba,ABW
10,Australia,AUS
11,Austria,AUT
12,Azerbaijan,AZE
13,Bahamas,BHS
14,Bahrain,BHR
15,Bangladesh,BGD
16,Barbados,BRB
17,Belarus,BLR
18,Belgium,BEL
19,Belize,BLZ
20,Benin,BEN
21,Bermuda,BMU
22,Bhutan,BTN
23,Bolivia,BOL
24,Bosnia and Herzegovina,BIH
25,Botswana,BWA
26,Brazil,BRA
27,British Virgin Islands,VGB
28,Brunei,BRN
29,Bulgaria,BGR
30,Burkina Faso,BFA
31,Burundi,BDI
32,Cambodia,KHM
33,Cameroon,CMR
34,Canada,CAN
35,Cape Verde,CPV
36,Cayman Islands,CYM
37,Central African Republic,CAF
38,Chad,TCD
39,Chile,CHL
40,China,CHN
41,Colombia,COL
42,Comoros,COM
43,Congo,COG
44,Cook Islands,COK
45,Costa Rica,CRI
46,Cote d'Ivoire,CIV
47,Croatia,HRV
48,Cuba,CUB
49,Curacao,CUW
50,Cyprus,CYP
51,Czechia,CZE
52,Democratic Republic of Congo,COD
53,Denmark,DNK
54,Djibouti,DJI
55,Dominica,DMA
56,Dominican Republic,DOM
57,East Timor,TLS
58,Ecuador,ECU
59,Egypt,EGY
60,El Salvador,SLV
61,Equatorial Guinea,GNQ
62,Eritrea,ERI
63,Estonia,EST
64,Eswatini,SWZ
65,Ethiopia,ETH
66,Falkland Islands,FLK
67,Faroe Islands,FRO
68,Fiji,FJI
69,Finland,FIN
70,France,FRA
71,French Guiana,GUF
72,French Polynesia,PYF
73,Gabon,GAB
74,Gambia,GMB
75,Georgia,GEO
76,Germany,DEU
77,Ghana,GHA
78,Gibraltar,GIB
79,Greece,GRC
80,Greenland,GRL
81,Grenada,GRD
82,Guadeloupe,GLP
83,Guam,GUM
84,Guatemala,GTM
85,Guinea,GIN
86,Guinea-Bissau,GNB
87,Guyana,GUY
88,Haiti,HTI
89,Honduras,HND
90,Hong Kong,HKG
91,Hungary,HUN
92,Iceland,ISL
93,India,IND
94,Indonesia,IDN
95,Iran,IRN
96,Iraq,IRQ
97,Ireland,IRL
98,Israel,ISR
99,Italy,ITA
100,Jamaica,JAM
101,Japan,JPN
102,Jordan,JOR
103,Kazakhstan,KAZ
104,Kenya,KEN
105,Kiribati,KIR
106,Kosovo,OWID_KOS
107,Kuwait,KWT
108,Kyrgyzstan,KGZ
109,Laos,LAO
110,Latvia,LVA
111,Lebanon,LBN
112,Lesotho,LSO
113,Liberia,LBR
114,Libya,LBY
115,Liechtenstein,LIE
116,Lithuania,LTU
117,Luxembourg,LUX
118,Macao,MAC
119,Madagascar,MDG
120,Malawi,MWI
121,Malaysia,MYS
122,Maldives,MDV
123,Mali,MLI
124,Malta,MLT
125,Marshall Islands,MHL
126,Martinique,MTQ
127,Mauritania,MRT
128,Mauritius,MUS
129,Mexico,MEX
130,Micronesia (country),FSM
131,Moldova,MDA
132,Mongolia,MNG
133,Montenegro,MNE
134,Montserrat,MSR
135,Morocco,MAR
136,Mozambique,MOZ
137,Myanmar,MMR
138,Namibia,NAM
139,Nepal,NPL
140,Netherlands,NLD
141,New Caledonia,NCL
142,New Zealand,NZL
143,Nicaragua,NIC
144,Niger,NER
145,Nigeria,NGA
146,Niue,NIU
147,North Korea,PRK
148,North Macedonia,MKD
149,Norway,NOR
150,Oman,OMN
151,Pakistan,PAK
152,Palau,PLW
153,Palestine,PSE
154,Panama,PAN
155,Papua New Guinea,PNG
156,Paraguay,PRY
157,Peru,PER
158,Philippines,PHL
159,Poland,POL
160,Portugal,PRT
161,Puerto Rico,PRI
162,Qatar,QAT
163,Reunion,REU
164,Romania,ROU
165,Russia,RUS
166,Rwanda,RWA
167,Saint Kitts and Nevis,KNA
168,Saint Lucia,LCA
169,Saint Pierre and Miquelon,SPM
170,Saint Vincent and the Grenadines,VCT
171,Samoa,WSM
172,Sao Tome and Principe,STP
173,Saudi Arabia,SAU
174,Senegal,SEN
175,Serbia,SRB
176,Seychelles,SYC
177,Sierra Leone,SLE
178,Singapore,SGP
179,Sint Maarten (Dutch part),SXM
180,Slovakia,SVK
181,Slovenia,SVN
182,Solomon Islands,SLB
183,Somalia,SOM
184,South Africa,ZAF
185,South Korea,KOR
186,South Sudan,SSD
187,Spain,ESP
188,Sri Lanka,LKA
189,Sudan,SDN
190,Suriname,SUR
191,Sweden,SWE
192,Switzerland,CHE
193,Syria,SYR
194,Taiwan,TWN
195,Tajikistan,TJK
196,Tanzania,TZA
197,Thailand,THA
198,Togo,TGO
199,Tokelau,TKL
200,Tonga,TON
201,Trinidad and Tobago,TTO
202,Tunisia,TUN
203,Turkey,TUR
204,Turkmenistan,TKM
205,Turks and Caicos Islands,TCA
206,Uganda,UGA
207,Ukraine,UKR
208,United Arab Emirates,ARE
209,United Kingdom,GBR
210,United States,USA
211,United States Virgin Islands,VIR
212,Uruguay,URY
213,Uzbekistan,UZB
214,Vanuatu,VUT
215,Venezuela,VEN
216,Vietnam,VNM
217,Wallis and Futuna,WLF
218,Western Sahara,ESH
219,Yemen,YEM
220,Zambia,ZMB
221,Zimbabwe,ZWE
