Entity,Code,Year,Annual CO₂ emissions,time
Afghanistan,AFG,2000,1047127.94,2000
Afghanistan,AFG,2023,11020218,2023
Albania,ALB,2000,3024926,2000
Albania,ALB,2023,5144279,2023
Algeria,DZA,2000,85398600,2000
Algeria,DZA,2023,178132770,2023
Andorra,AND,2000,523952,2000
Andorra,AND,2023,423874,2023
Angola,AGO,2000,15995108,2000
Angola,AGO,2023,20780540,2023
Antarctica,ATA,2000,3664,2000
Antarctica,ATA,2023,0,2023
Antigua and Barbuda,ATG,2000,355408,2000
Antigua and Barbuda,ATG,2023,644826,2023
Argentina,ARG,2000,143468700,2000
Argentina,ARG,2023,195805970,2023
Armenia,ARM,2000,3491407,2000
Armenia,ARM,2023,7608323,2023
Australia,AUS,2000,350007970,2000
Australia,AUS,2023,382972000,2023
Austria,AUT,2000,66177100,2000
Austria,AUT,2023,58578050,2023
Azerbaijan,AZE,2000,29765310,2000
Azerbaijan,AZE,2023,43936972,2023
Bahamas,BHS,2000,2026192,2000
Bahamas,BHS,2023,2505352,2023
Bahrain,BHR,2000,19199360,2000
Bahrain,BHR,2023,36526764,2023
Bangladesh,BGD,2000,26539266,2000
Bangladesh,BGD,2023,113426860,2023
Barbados,BRB,2000,1305480,2000
Barbados,BRB,2023,1191738,2023
Belarus,BLR,2000,54905984,2000
Belarus,BLR,2023,56490772,2023
Belgium,BEL,2000,126723040,2000
Belgium,BEL,2023,83368480,2023
Belize,BLZ,2000,395712,2000
Belize,BLZ,2023,667898,2023
Benin,BEN,2000,1472928,2000
Benin,BEN,2023,5592317,2023
Bhutan,BTN,2000,396871,2000
Bhutan,BTN,2023,1713060,2023
Bolivia,BOL,2000,8433878,2000
Bolivia,BOL,2023,23359406,2023
Bosnia and Herzegovina,BIH,2000,13702201,2000
Bosnia and Herzegovina,BIH,2023,20179128,2023
Botswana,BWA,2000,3777584,2000
Botswana,BWA,2023,6713559,2023
Brazil,BRA,2000,340183000,2000
Brazil,BRA,2023,486470080,2023
Brunei,BRN,2000,5328739,2000
Brunei,BRN,2023,11769600,2023
Bulgaria,BGR,2000,45591940,2000
Bulgaria,BGR,2023,36093596,2023
Burkina Faso,BFA,2000,934446,2000
Burkina Faso,BFA,2023,6186583,2023
Burundi,BDI,2000,271136,2000
Burundi,BDI,2023,709700,2023
Cambodia,KHM,2000,2000544.1,2000
Cambodia,KHM,2023,20178442,2023
Cameroon,CMR,2000,5588569,2000
Cameroon,CMR,2023,9941406,2023
Canada,CAN,2000,566261400,2000
Canada,CAN,2023,549299000,2023
Cape Verde,CPV,2000,296784,2000
Cape Verde,CPV,2023,534969,2023
Central African Republic,CAF,2000,234496,2000
Central African Republic,CAF,2023,281213,2023
Chad,TCD,2000,487512,2000
Chad,TCD,2023,3079389,2023
Chile,CHL,2000,58502596,2000
Chile,CHL,2023,77287704,2023
China,CHN,2000,3649226500,2000
China,CHN,2023,11902503000,2023
Colombia,COL,2000,56591360,2000
Colombia,COL,2023,105238664,2023
Comoros,COM,2000,102592,2000
Comoros,COM,2023,448731,2023
Congo,COG,2000,4284250,2000
Congo,COG,2023,7674340,2023
Costa Rica,CRI,2000,5393873,2000
Costa Rica,CRI,2023,8279033.5,2023
Cote d'Ivoire,CIV,2000,6633573,2000
Cote d'Ivoire,CIV,2023,13195601,2023
Croatia,HRV,2000,19652270,2000
Croatia,HRV,2023,17524080,2023
Cuba,CUB,2000,25284420,2000
Cuba,CUB,2023,23097436,2023
Cyprus,CYP,2000,7102160,2000
Cyprus,CYP,2023,7174221,2023
Czechia,CZE,2000,127236140,2000
Czechia,CZE,2023,85624184,2023
Democratic Republic of Congo,COD,2000,1704731,2000
Democratic Republic of Congo,COD,2023,4615953,2023
Denmark,DNK,2000,54295988,2000
Denmark,DNK,2023,27264778,2023
Djibouti,DJI,2000,366400,2000
Djibouti,DJI,2023,492543,2023
Dominica,DMA,2000,102592,2000
Dominica,DMA,2023,163060,2023
Dominican Republic,DOM,2000,18991626,2000
Dominican Republic,DOM,2023,32019646,2023
East Timor,TLS,2000,219860,2000
East Timor,TLS,2023,632121,2023
Ecuador,ECU,2000,20927296,2000
Ecuador,ECU,2023,43172870,2023
Egypt,EGY,2000,143836050,2000
Egypt,EGY,2023,269006200,2023
El Salvador,SLV,2000,5670975,2000
El Salvador,SLV,2023,8230260,2023
Equatorial Guinea,GNQ,2000,2699265,2000
Equatorial Guinea,GNQ,2023,6141370,2023
Eritrea,ERI,2000,604433,2000
Eritrea,ERI,2023,620764,2023
Estonia,EST,2000,15470923,2000
Estonia,EST,2023,10018740,2023
Eswatini,SWZ,2000,1209120,2000
Eswatini,SWZ,2023,1104210,2023
Ethiopia,ETH,2000,3462855,2000
Ethiopia,ETH,2023,15227142,2023
Fiji,FJI,2000,814852,2000
Fiji,FJI,2023,1146151,2023
Finland,FIN,2000,57017000,2000
Finland,FIN,2023,31622000,2023
France,FRA,2000,406139200,2000
France,FRA,2023,272475840,2023
Gabon,GAB,2000,6128187,2000
Gabon,GAB,2023,5410930,2023
