Entity,Code,Year,Primary energy consumption per capita (kWh/person),time
Afghanistan,AFG,2020,1200.7416,2020
Afghanistan,,,990.46967,2023
Albania,ALB,2020,7352.821,2020
Albania,,,8032.0703,2023
Algeria,DZA,2020,14733.6045,2020
Algeria,DZA,2024,16237.188,2024
Angola,AGO,2020,2281.5913,2020
Angola,,,2680.3416,2023
Antigua and Barbuda,ATG,2020,31833.912,2020
Antigua and Barbuda,,,32266.113,2023
Argentina,ARG,2020,19117.824,2020
Argentina,ARG,2024,21513.947,2024
Armenia,ARM,2020,15475.302,2020
Armenia,,,16027.844,2023
Australia,AUS,2020,61584.258,2020
Australia,AUS,2024,62595.04,2024
Austria,AUT,2020,44852.156,2020
Austria,AUT,2024,45208.31,2024
Azerbaijan,AZE,2020,18162.768,2020
Azerbaijan,AZE,2024,20137.387,2024
Bahamas,BHS,2020,26472.564,2020
Bahamas,,,30598.396,2023
Bahrain,BHR,2020,152081.19,2020
Bahrain,,,164932.52,2023
Bangladesh,BGD,2020,2750.7673,2020
Bangladesh,BGD,2024,3048.3135,2024
Barbados,BRB,2020,20003.318,2020
Barbados,,,20013.902,2023
Belarus,BLR,2020,30643.37,2020
Belarus,BLR,2024,34632.566,2024
Belgium,BEL,2020,57530.324,2020
Belgium,BEL,2024,54870.88,2024
Belize,BLZ,2020,8852.267,2020
Belize,,,9012.318,2023
Benin,BEN,2020,2427.1685,2020
Benin,,,1896.6274,2023
Bhutan,BTN,2020,11798.361,2020
Bhutan,,,18780.541,2023
Bolivia,BOL,2020,6695.948,2020
Bolivia,,,8598.6455,2023
Bosnia and Herzegovina,BIH,2020,17237.43,2020
Bosnia and Herzegovina,,,26735.992,2023
Botswana,BWA,2020,9292.531,2020
Botswana,,,9508.218,2023
Brazil,BRA,2020,16401.875,2020
Brazil,BRA,2024,18486.229,2024
Brunei,BRN,2020,130865.55,2020
Brunei,,,118211.914,2023
Bulgaria,BGR,2020,28177.615,2020
Bulgaria,BGR,2024,28381.64,2024
Burkina Faso,BFA,2020,936.2156,2020
Burkina Faso,,,1020.26306,2023
Burundi,BDI,2020,285.65326,2020
Burundi,,,277.14117,2023
Cambodia,KHM,2020,3623.1885,2020
